hour,from_station,to_station,line,direction,passenger_count,capacity_utilization_percent
7,105,106,1,forward,7938,47.25
7,106,105,1,backward,19479,139.14
7,106,107,1,forward,7725,45.98
7,107,106,1,backward,20919,149.42
7,107,108,1,forward,6750,40.18
7,108,107,1,backward,22689,162.06
7,108,109,1,forward,6966,41.46
7,109,108,1,backward,20754,148.24
7,109,132,1,forward,6915,41.16
7,110,111,1,forward,3,0.02
7,110,91,1,backward,237,1.69
7,111,110,1,backward,225,1.61
7,112,113,1,forward,4725,28.12
7,112,132,1,backward,23286,166.33
7,113,112,1,backward,24450,174.64
7,113,114,1,forward,3597,21.41
7,114,113,1,backward,25341,181.01
7,114,115,1,forward,3351,19.95
7,115,114,1,backward,24111,172.22
7,115,116,1,forward,3108,18.5
7,116,115,1,backward,23889,170.64
7,116,117,1,forward,2904,17.29
7,117,116,1,backward,21453,153.24
7,117,118,1,forward,2766,16.46
7,118,117,1,backward,19116,136.54
7,118,119,1,forward,2556,15.21
7,119,118,1,backward,15540,111.0
7,119,120,1,forward,2322,13.82
7,120,119,1,backward,12312,87.94
7,120,121,1,forward,1497,8.91
7,121,120,1,backward,3960,28.29
7,121,122,1,forward,1377,8.2
7,122,121,1,backward,3948,28.2
7,122,123,1,forward,897,5.34
7,123,122,1,backward,2220,15.86
7,123,92,1,forward,804,4.79
7,132,109,1,backward,21675,154.82
7,132,112,1,forward,6495,38.66
7,91,110,1,forward,30,0.18
7,91,92,1,backward,237,1.69
7,92,123,1,backward,1386,9.9
7,92,91,1,forward,30,0.18
7,95,96,1,forward,1425,8.48
7,96,95,1,backward,2349,16.78
7,96,97,1,forward,2451,14.59
7,97,96,1,backward,3684,26.31
7,97,98,1,forward,3102,18.46
7,98,97,1,backward,4710,33.64
7,98,99,1,forward,4740,28.21
7,99,100,1,forward,5397,32.12
7,99,98,1,backward,6426,45.9
7,125,126,2,forward,20391,145.65
7,125,153,2,backward,4752,33.94
7,126,125,2,backward,5313,37.95
7,126,127,2,forward,21825,155.89
7,127,126,2,backward,6033,43.09
7,127,128,2,forward,15888,113.49
7,128,127,2,backward,10545,75.32
7,128,129,2,forward,15969,114.06
7,129,128,2,backward,11088,79.2
7,129,130,2,forward,16683,119.16
7,130,129,2,backward,10908,77.91
7,130,131,2,forward,16341,116.72
7,131,130,2,backward,11310,80.79
7,131,132,2,forward,15171,108.36
7,132,131,2,backward,12117,86.55
7,132,133,2,forward,8280,59.14
7,133,132,2,backward,18519,132.28
7,133,134,2,forward,7563,54.02
7,134,133,2,backward,19062,136.16
7,134,135,2,forward,6009,42.92
7,135,134,2,backward,20775,148.39
7,135,136,2,forward,6078,43.41
7,136,135,2,backward,21216,151.54
7,136,137,2,forward,5760,41.14
7,137,136,2,backward,25644,183.17
7,137,138,2,forward,5769,41.21
7,138,137,2,backward,24156,172.54
7,138,139,2,forward,6327,45.19
7,139,138,2,backward,20349,145.35
7,139,140,2,forward,6405,45.75
7,140,139,2,backward,18114,129.39
7,140,141,2,forward,6030,43.07
7,141,140,2,backward,16743,119.59
7,141,142,2,forward,5706,40.76
7,142,141,2,backward,14199,101.42
7,142,143,2,forward,4914,35.1
7,143,142,2,backward,11499,82.14
7,143,144,2,forward,4461,31.86
7,144,143,2,backward,9129,65.21
7,144,145,2,forward,3432,24.51
7,145,144,2,backward,5961,42.58
7,153,125,2,forward,18915,135.11
7,104,182,3,backward,9558,79.65
7,104,183,3,forward,9165,76.38
7,170,171,3,forward,1065,8.88
7,171,170,3,backward,570,4.75
7,171,172,3,forward,2541,21.18
7,172,171,3,backward,1041,8.67
7,172,175,3,forward,3342,27.85
7,175,172,3,backward,2712,22.6
7,175,176,3,forward,4884,40.7
7,176,175,3,backward,4287,35.73
7,176,177,3,forward,5838,48.65
7,177,176,3,backward,4569,38.07
7,177,178,3,forward,6483,54.02
7,178,177,3,backward,4941,41.17
7,178,179,3,forward,7305,60.88
7,179,178,3,backward,5904,49.2
7,179,180,3,forward,9864,82.2
7,180,179,3,backward,6147,51.23
7,180,181,3,forward,11949,99.58
7,181,180,3,backward,5940,49.5
7,181,182,3,forward,12000,100.0
7,182,104,3,forward,11802,98.35
7,182,181,3,backward,7677,63.98
7,183,104,3,backward,14928,124.4
7,183,184,3,forward,7254,60.45
7,184,183,3,backward,20907,174.22
7,184,185,3,forward,6831,56.93
7,185,184,3,backward,22578,188.15
7,185,211,3,forward,5277,43.97
7,186,211,3,backward,22401,186.67
7,186,247,3,forward,1296,10.8
7,188,189,3,forward,1431,11.92
7,188,247,3,backward,21753,181.28
7,189,188,3,backward,19293,160.78
7,189,190,3,forward,1431,11.92
7,190,189,3,backward,17934,149.45
7,190,191,3,forward,1305,10.88
7,191,190,3,backward,14388,119.9
7,191,192,3,forward,1098,9.15
7,192,191,3,backward,11517,95.97
7,192,193,3,forward,897,7.47
7,193,192,3,backward,10263,85.52
7,193,194,3,forward,468,3.9
7,194,193,3,backward,7161,59.67
7,211,185,3,backward,24126,201.05
7,211,186,3,forward,1806,15.05
7,247,186,3,backward,21621,180.17
7,247,188,3,forward,1320,11.0
7,108,135,4,forward,4230,30.21
7,108,212,4,backward,19791,141.36
7,127,208,4,backward,5850,41.79
7,127,209,4,forward,26715,190.82
7,135,108,4,backward,25179,179.85
7,135,216,4,forward,3321,23.72
7,154,201,4,backward,168,1.2
7,154,204,4,forward,870,6.21
7,201,154,4,forward,2316,16.54
7,202,203,4,backward,2508,17.91
7,202,206,4,forward,11616,82.97
7,203,202,4,forward,11592,82.8
7,203,205,4,backward,2346,16.76
7,204,154,4,backward,390,2.79
7,204,205,4,forward,3258,23.27
7,205,203,4,forward,11559,82.56
7,205,204,4,backward,933,6.66
7,206,202,4,backward,2511,17.94
7,206,207,4,forward,13524,96.6
7,207,206,4,backward,5280,37.71
7,207,208,4,forward,15054,107.53
7,208,127,4,forward,15996,114.26
7,208,207,4,backward,5604,40.03
7,209,127,4,backward,9525,68.04
7,209,210,4,forward,26001,185.72
7,210,209,4,backward,11172,79.8
7,210,211,4,forward,25083,179.16
7,211,210,4,backward,12429,88.78
7,211,212,4,forward,14793,105.66
7,212,108,4,forward,9762,69.73
7,212,211,4,backward,16698,119.27
7,216,135,4,backward,23982,171.3
7,216,217,4,forward,1977,14.12
7,217,216,4,backward,25653,183.24
7,217,218,4,forward,1929,13.78
7,218,217,4,backward,20799,148.56
7,218,219,4,forward,1611,11.51
7,219,218,4,backward,17064,121.89
